1800,0
300,1
300,2
400,3
600,4
700,5
800,6
1000,7
1000,8
3900,9
2100,10
7900,11
8700,12
1500,13
1700,14
4800,15
4800,16
5300,17
8000,18
18500,19
10600,20
18300,21
34100,22
32100,23
27600,24
26200,25
25400,26
56900,27
115100,28
63700,29
148600,30
233600,31
273200,32
542100,33
650700,34
693300,35
1339300,36
1727800,37
2024000,38
3693800,39
7956500,40
5536700,41
10683100,42
15436300,43
15626600,44
30824500,45
46225100,46
46330200,47
92734800,48
138131900,49
138090900,50
284859200,51
411983700,52
433121800,53
830823000,54
1268608800,55
1246870500,56
2492775000,57
3673523200,58
3683223500,59
7339869900,60
11003805600,61
11025081000,62
22013231900,63
33014511600,64
32994710400,65
66031528500,66
98966391900,67
99134685000,68
2.01123E+11,69
3.01783E+11,70
3.00008E+11,71
5.99069E+11,72
8.93809E+11,73
8.98101E+11,74
1.77983E+12,75
2.69103E+12,76
2.70897E+12,77
5.4356E+12,78
